"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"50 years"	2478
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"51 years"	2517
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"52 years"	2516
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"53 years"	2492
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"54 years"	2484
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"55 years"	2472
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"56 years"	2361
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"57 years"	2192
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"58 years"	2224
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"59 years"	2024
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"60 years"	1951
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"61 years"	1890
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"62 years"	1738
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"63 years"	1726
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"64 years"	1630
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"65 years"	1610
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"66 years"	1453
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"67 years"	1587
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"68 years"	1457
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"69 years"	1447
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"70 years"	1380
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"71 years"	1453
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"72 years"	1404
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"73 years"	1456
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"74 years"	1316
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"75 years"	1246
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"76 years"	1178
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"77 years"	1061
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"78 years"	1025
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"79 years"	839
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"80 years"	872
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"81 years"	794
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"82 years"	700
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"83 years"	686
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"84 years"	687
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"85 years"	628
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"86 years"	564
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"87 years"	522
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"88 years"	433
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"89 years"	389
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"90 years"	359
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"91 years"	264
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"92 years"	240
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"93 years"	199
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"94 years"	132
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"95 years"	135
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"96 years"	86
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"97 years"	63
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"98 years"	46
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"99 years or older"	61
"Population on 31 December"	"Fribourg / Freiburg"	"Citizenship (category) - Total"	"Woman"	"No indication"	0
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"Age - Total"	275247
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"0 years"	2564
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"1 year"	2726
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"2 years"	2649
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"3 years"	2730
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"4 years"	2743
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"5 years"	2683
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"6 years"	2610
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"7 years"	2650
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"8 years"	2688
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"9 years"	2606
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"10 years"	2619
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"11 years"	2561
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"12 years"	2483
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"13 years"	2393
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"14 years"	2566
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"15 years"	2513
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"16 years"	2537
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"17 years"	2579
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"18 years"	2635
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"19 years"	2817
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"20 years"	2863
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"21 years"	2928
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"22 years"	3070
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"23 years"	3086
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"24 years"	3191
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"25 years"	3262
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"26 years"	3424
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"27 years"	3438
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"28 years"	3602
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"29 years"	3652
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"30 years"	3666
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"31 years"	3765
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"32 years"	3576
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"33 years"	3697
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"34 years"	3802
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"35 years"	3891
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"36 years"	3767
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"37 years"	3769
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"38 years"	3695
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"39 years"	3627
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"40 years"	3516
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"41 years"	3483
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"42 years"	3398
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"43 years"	3419
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"44 years"	3397
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"45 years"	3454
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"46 years"	3427
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"47 years"	3780
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"48 years"	3868
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"49 years"	4089
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"50 years"	4160
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"51 years"	4416
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"52 years"	4334
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"53 years"	4474
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"54 years"	4494
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"55 years"	4677
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"56 years"	4501
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"57 years"	4417
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"58 years"	4244
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"59 years"	4144
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"60 years"	4022
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"61 years"	3897
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"62 years"	3701
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"63 years"	3778
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"64 years"	3354
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"65 years"	3365
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"66 years"	3159
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"67 years"	3026
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"68 years"	2962
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"69 years"	2891
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"70 years"	2808
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"71 years"	2828
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"72 years"	2674
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	2651
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	2525
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	2450
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	2245
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	2161
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	2020
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	1686
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	1671
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	1550
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	1501
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	1379
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	1362
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	1242
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	1123
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	991
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	912
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	770
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	682
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	497
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	415
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	340
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	284
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	179
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	113
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	77
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	61
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	80
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"Age - Total"	137659
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"0 years"	1310
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"1 year"	1383
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"2 years"	1392
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"3 years"	1403
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"4 years"	1359
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"5 years"	1357
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"6 years"	1339
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"7 years"	1392
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"8 years"	1350
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"9 years"	1361
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"10 years"	1379
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"11 years"	1339
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"12 years"	1224
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"13 years"	1248
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"14 years"	1360
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"15 years"	1296
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"16 years"	1341
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"17 years"	1307
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"18 years"	1355
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"19 years"	1450
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"20 years"	1464
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"21 years"	1524
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"22 years"	1613
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"23 years"	1569
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"24 years"	1665
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"25 years"	1674
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"26 years"	1780
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"27 years"	1793
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"28 years"	1807
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"29 years"	1903
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"30 years"	1822
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"31 years"	1890
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"32 years"	1897
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"33 years"	1866
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"34 years"	1938
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"35 years"	1996
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"36 years"	1943
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"37 years"	1927
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"38 years"	1863
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"39 years"	1864
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"40 years"	1779
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"41 years"	1761
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"42 years"	1727
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"43 years"	1728
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"44 years"	1685
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"45 years"	1770
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"46 years"	1739
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"47 years"	1874
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"48 years"	1950
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"49 years"	2040
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"50 years"	2107
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"51 years"	2215
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"52 years"	2194
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"53 years"	2242
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"54 years"	2264
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"55 years"	2353
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"56 years"	2345
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"57 years"	2211
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"58 years"	2132
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"59 years"	2104
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"60 years"	2031
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"61 years"	1990
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"62 years"	1931
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"63 years"	1951
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"64 years"	1695
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"65 years"	1645
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"66 years"	1599
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"67 years"	1467
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"68 years"	1466
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"69 years"	1415
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"70 years"	1408
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"71 years"	1385
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"72 years"	1335
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"73 years"	1312
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"74 years"	1221
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"75 years"	1152
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"76 years"	1082
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"77 years"	1036
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"78 years"	919
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"79 years"	749
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"80 years"	738
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"81 years"	674
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"82 years"	629
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"83 years"	582
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"84 years"	572
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"85 years"	496
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"86 years"	420
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"87 years"	349
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"88 years"	337
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"89 years"	275
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"90 years"	228
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"91 years"	160
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"92 years"	122
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"93 years"	114
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"94 years"	80
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"95 years"	39
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"96 years"	30
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"97 years"	18
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"98 years"	22
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"99 years or older"	22
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Man"	"No indication"	0
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"Age - Total"	137588
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"0 years"	1254
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"1 year"	1343
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"2 years"	1257
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"3 years"	1327
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"4 years"	1384
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"5 years"	1326
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"6 years"	1271
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"7 years"	1258
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"8 years"	1338
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"9 years"	1245
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"10 years"	1240
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"11 years"	1222
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"12 years"	1259
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"13 years"	1145
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"14 years"	1206
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"15 years"	1217
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"16 years"	1196
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"17 years"	1272
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"18 years"	1280
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"19 years"	1367
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"20 years"	1399
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"21 years"	1404
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"22 years"	1457
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"23 years"	1517
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"24 years"	1526
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"25 years"	1588
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"26 years"	1644
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"27 years"	1645
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"28 years"	1795
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"29 years"	1749
"Population on 31 December"	"Solothurn"	"Citizenship (category) - Total"	"Woman"	"30 years"	1844
